City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
80,Iquique,-20.2208,-70.1431,68.68,78,85,7.54,CL,1732906226
81,Isafjordur,66.0755,-23.124,14.04,79,20,0.0,IS,1732906237
82,Saint-Philippe,-21.3585,55.7679,76.1,84,41,15.28,RE,1732906238
83,Sandy City,40.572,-111.8606,39.16,57,0,8.99,US,1732906240
84,Perevolotskiy,51.8763,54.1938,27.19,66,8,5.57,RU,1732906241
85,Saipan,15.1355,145.701,83.1,86,40,11.01,MP,1732906242
86,Hawaiian Paradise Park,19.5933,-154.9731,71.89,97,100,3.44,US,1732906191
87,Anadyr,64.75,177.4833,30.7,80,75,11.18,RU,1732906244
88,Saldanha,-33.0117,17.9442,69.85,86,5,19.28,ZA,1732906245
89,Maisi,43.0395,41.2621,35.06,81,65,4.56,GE,1732906246
90,Barra de Santo Antônio,-9.4047,-35.5072,80.83,68,52,10.78,BR,1732906247
91,Minas de Marcona,-15.2119,-75.1103,70.05,61,100,16.28,PE,1732906250
92,Pundong,-7.9522,110.3486,77.67,88,100,4.12,ID,1732906251
93,Mont-Dore,-22.2833,166.5833,72.73,81,100,7.07,NC,1732906252
94,Hamilton,39.1834,-84.5333,35.2,62,100,13.8,US,1732906026
95,Tateyama,34.9833,139.8667,54.36,53,0,34.23,JP,1732906254
96,Farim,12.4839,-15.2217,82.09,22,0,3.8,GW,1732906255
97,Coquimbo,-29.9533,-71.3436,64.98,63,20,14.97,CL,1732906218
98,Qaqortoq,60.7167,-46.0333,9.93,69,5,5.79,GL,1732906224
99,Tiksi,71.6872,128.8694,-5.33,99,69,5.46,RU,1732906259
100,Gaalkacyo,6.7697,47.4308,77.86,67,100,17.38,SO,1732906260
101,Naze,28.3667,129.4833,61.72,66,100,13.35,JP,1732906261
102,Blackmans Bay,-43.0167,147.3167,55.72,81,98,5.53,AU,1732906263
103,Ribeira Grande,38.5167,-28.7,61.2,63,75,20.71,PT,1732906179
104,Ubari,26.5921,12.7805,57.65,38,0,5.95,LY,1732906265
105,Stanley,54.868,-1.6985,42.82,87,0,4.61,GB,1732905846
106,Youkounkoun,12.5333,-13.1333,81.93,16,0,4.99,GN,1732906267
107,Cologne,50.9333,6.95,39.96,81,0,8.05,DE,1732906268
108,Iqaluit,63.7506,-68.5145,19.13,79,100,3.44,CA,1732905986
109,Albany,42.6001,-73.9662,38.44,65,100,1.99,US,1732905977
110,Saint-François,46.4154,3.9054,38.64,100,100,4.61,FR,1732906272
111,Wailua Homesteads,22.0669,-159.378,65.19,100,0,5.75,US,1732906273
112,Puerto Ayora,-0.7393,-90.3518,73.54,85,36,8.01,EC,1732906274
113,Hotan,37.0997,79.9269,31.66,47,65,3.24,CN,1732906162
114,Mount Isa,-20.7333,139.5,67.77,94,0,0.0,AU,1732906276
115,Chonchi,-42.6128,-73.8092,63.3,51,6,4.41,CL,1732906277
116,Petropavlovsk-Kamchatskiy,53.0452,158.6483,27.19,93,75,4.47,RU,1732906278
117,Pont Rouge,48.8833,-72.0825,31.21,68,100,4.12,CA,1732906279
118,Mili,6.0815,171.735,79.77,83,100,17.07,MH,1732906281
119,Badger,64.8,-147.5333,-20.33,75,0,0.0,US,1732906040
120,Kalmunai,7.4167,81.8167,76.86,86,100,3.67,LK,1732906283
121,Yuzhno-Kurilsk,44.0306,145.8556,33.13,71,16,9.62,RU,1732906285
122,Itaituba,-4.2761,-55.9836,93.36,59,20,6.91,BR,1732906286
123,Constanța,44.1833,28.65,43.7,75,99,9.31,RO,1732906288
124,Angaur State,6.906,134.13,81.97,76,100,7.36,PW,1732906289
125,Lompoc,34.6391,-120.4579,62.13,61,0,8.05,US,1732906290
126,Berdigestyakh,62.0989,126.6992,-6.95,100,100,3.67,RU,1732906292
127,Tura,25.5198,90.2201,61.0,66,1,3.33,IN,1732906293
128,Köprübaşı,40.8086,40.1238,36.72,77,100,7.61,TR,1732906295
129,Vila do Maio,15.1333,-23.2167,77.2,78,6,7.47,CV,1732906296
130,Praia da Vitória,38.7333,-27.0667,62.85,82,40,18.57,PT,1732906297
131,Utrik,11.2278,169.8474,82.6,73,95,23.44,MH,1732906298
132,Buenos Aires,-34.6132,-58.3772,82.99,35,23,8.01,AR,1732906012
133,Namsos,64.4662,11.4957,30.11,93,75,6.91,NO,1732906300
134,Mossamedes,-15.1961,12.1522,71.94,87,100,11.3,AO,1732906301
135,Nagqu Prefecture,31.5,92.0,13.5,15,100,2.77,CN,1732906303
136,Neiafu,-18.65,-173.9833,75.88,100,75,0.0,TO,1732906304
137,Ghat,24.9647,10.1728,62.1,21,0,5.14,LY,1732906305
138,Fortuna,40.5982,-124.1573,47.98,100,0,5.75,US,1732906306
139,Kolwezi,-10.7148,25.4667,63.32,87,93,1.28,CD,1732906307
140,Vorkuta,67.5,64.0,21.85,88,100,14.05,RU,1732906308
141,Quezon,7.7303,125.0989,72.01,97,100,1.52,PH,1732906309
142,Saint-Leu,-21.15,55.2833,76.06,94,4,3.31,RE,1732906310
143,Nizhniy Odes,63.6445,54.856,22.44,94,99,5.03,RU,1732906313
144,Walvis Bay,-22.9575,14.5053,61.0,86,0,2.37,NA,1732906314
145,Jamestown,42.097,-79.2353,31.01,88,100,18.41,US,1732906160
146,Northam,51.0333,-4.2167,53.62,96,100,17.47,GB,1732906317
147,Dudinka,69.4058,86.1778,-0.11,95,100,8.48,RU,1732906318
148,Homer,59.6425,-151.5483,19.78,45,0,6.91,US,1732906319
149,Tabou,4.423,-7.3528,80.11,81,6,9.35,CI,1732906321
150,Kirensk,57.7853,108.1119,-7.1,100,98,1.57,RU,1732906322
151,Strelka,58.0728,93.0344,18.1,97,100,5.01,RU,1732906323
